0	1	2	3	4	5	6	7
AP-2	2	3	6	2	3	3	8	1
AP2EREBP	12	2	8	4	4	4	22	2
ARF	6	1	4	0	2	1	10	1
ARID	4	13	24	8	6	12	10	1
ARID/BRIGHT	4	13	15	4	8	8	14	2
bHLH	217	156	195	115	123	185	620	10
bZIP	582	358	659	200	263	478	911	62
C2C2dof	13	11	4	11	6	13	11	1
CAMTA	2	2	6	3	5	4	7	0
CBF/NF-Y	115	98	164	68	73	108	340	6
CP2	2	10	6	3	5	4	20	1
CSD	6	1	8	2	2	3	36	2
CSL	5	2	11	4	2	11	26	1
CTF	3	5	7	3	6	4	17	0
CxxC	2	5	7	1	0	4	12	0
DM	5	1	10	3	5	5	14	1
E2F	27	27	46	20	26	24	41	2
EBF1	10	5	9	2	7	11	23	0
Ets	48	27	43	31	22	68	178	1
FAR1	3	5	8	1	2	3	6	0
Forkhead	556	585	849	363	346	581	1065	61
HMG	31	27	50	26	21	30	83	5
Homeodomain	1399	1444	2163	921	961	1485	3406	137
HSF	1	4	4	4	4	6	19	0
HTH	10	11	12	6	9	14	39	0
IPT/TIG	27	22	6	20	14	17	14	1
IRF	38	26	32	8	20	36	96	0
MADS-box	11	4	20	7	3	11	22	1
Myb/SANT	3	0	7	1	0	3	6	0
NA	24	22	24	12	10	16	58	3
NRF	6	6	8	4	2	4	21	0
Nuclear receptor	50	44	87	27	32	65	197	10
p53	6	6	12	7	5	10	43	1
Paired box	27	22	31	14	11	20	71	0
RFX	8	1	5	2	4	3	17	0
RHD	14	14	7	12	8	14	18	0
RRM	4	1	5	2	1	8	16	0
Runt	8	2	6	8	2	4	14	0
SAND	6	2	5	3	1	6	16	1
SMAD	13	18	19	9	6	13	45	1
Sox	71	64	104	47	51	72	172	3
T-box	54	22	26	24	9	18	86	2
TBP	11	9	5	8	4	10	9	2
TCP	1	0	4	0	1	2	3	0
TEA	1	0	3	0	1	5	17	0
Zinc finger	228	164	344	201	145	205	656	29
