0	1	2	3	4	5	6	7
AP-2	-0.9363910106335	-0.0996615404331085	0.34116907384002	-0.127228028719072	0.500948359330399	-0.264868731950688	-0.0845521567863126	1.58131909142686
AP2EREBP	0.828158957822368	-1.85028397204282	-0.42933451912393	-0.1819078013406	-0.195959411808876	-0.962148866663611	0.528081164256223	1.53150827631103
ARF	1.10298633557127	-1.62651570777648	-0.177167026168215	-Inf	0.0357819060149919	-1.7916823963891	0.653082213917963	1.75139981853132
ARID	-1.4473911223052	0.639428394242813	1.04888467900303	0.445403685477735	-0.0257246318774216	0.335775645692006	-1.53116169448496	0.0670270172831522
ARID/BRIGHT	-1.23736245650013	0.880987208021608	0.395268390162773	-0.427588018357471	0.654252348134108	-0.112937945684406	-0.711567281560773	1.29401647981675
bHLH	0.0906304098229448	-0.272338754686049	-0.673448204189519	-0.131322779941998	-0.035421155471866	-0.156502782772981	0.602898848754844	-1.02773000923629
bZIP	0.533097255529385	-0.174117162639435	0.148169067001197	-0.505144726018956	-0.0482196334631272	0.177242658772514	-0.276944390346935	0.655132259459202
C2C2dof	0.65965977667263	0.562323128973946	-1.80988553647137	1.17870161448894	0.167396791415615	0.689247215274807	-1.16336512435253	0.24676667221876
CAMTA	-0.990895365840043	-0.796182112660595	0.276945556447652	0.458357584978829	1.29811795581114	0.150478439210677	-0.414959258126309	-Inf
CBF/NF-Y	-0.119920266836974	-0.186861006828791	-0.0697258473220833	-0.148111780873273	-0.0485145798330348	-0.195177840499195	0.379452833703383	-1.00698702377406
CP2	-1.85197982636365	0.92568633154461	-0.692619637516472	-0.427363108391251	0.358365572789966	-0.761451083528698	0.606323336460881	0.69125754339576
CSD	-0.323304568618854	-2.85071716330603	-0.400128153786563	-1.20970288678268	-1.22374157835649	-1.37758241134656	2.01959933543963	1.55755011882794
CSL	-0.747532433741013	-1.95004623083314	0.00230379728565873	-0.285227397802871	-1.34954410492401	0.582662575200907	0.769757549382281	0.403842844049944
CTF	-1.04383625980931	-0.0407307496884343	-0.225608466068771	-0.234373013300674	0.860563275723951	-0.564073434309183	0.518410188275944	-Inf
CxxC	-1.09410227472731	0.581522880017357	0.438187853501517	-1.3345153666992	-Inf	0.0393849133925243	0.575134344599625	-Inf
DM	-0.0833821708648017	-2.36438319123771	0.583944767209701	-0.0897577074038597	0.712524406632433	-0.0538497862915956	0.290298598084379	1.01368116351889
E2F	0.019925816326137	0.216014776750355	0.402171253115322	0.343410860215167	0.758775360163132	-0.145413204950815	-0.793748854504539	-0.355187835594974
EBF1	0.254393070926374	-0.674230697651509	-0.473738300060405	-1.45125417958059	0.460976650485907	0.447453021428808	0.302260731931422	-Inf
Ets	-0.160338881825078	-0.884528509439317	-0.896364587779801	-0.0467819760021966	-0.595745587811407	0.462877572904992	0.856254455267518	-2.36617492906603
FAR1	-0.294396719061928	0.758564885020882	0.894353876738942	-1.18235084780246	-0.141266422624232	-0.264868731950688	-0.637582619763056	-Inf
Forkhead	-0.0135807307913355	0.319771302653781	0.196148719398774	0.131335683311471	0.0251725303645686	0.107733798476598	-0.460245992374996	0.23031227084225
HMG	-0.177511901869984	-0.20651039289654	0.0851877209807747	0.352610715459113	-0.00259645712882275	-0.201490024279582	0.0740378390233938	0.618254835790172
Homeodomain	-0.215976799218271	0.202767982523596	0.101762411746328	0.0182922782203562	0.10915365884694	-0.00408449637036946	-0.108667415855631	-0.130940095286292
HSF	-2.55906272796518	-0.25049663400474	-0.995248960635565	0.364442800677075	0.350393599478033	0.250269841082208	1.02759475684183	-Inf
HTH	-0.422449273343232	-0.0733449985794478	-0.677492291464788	-0.412875311642547	0.206433836964951	0.159175120517445	0.570794112861287	-Inf
IPT/TIG	0.985724865465337	0.808192067285456	-2.03788140017037	1.25892363500139	0.641938841942617	0.196017897667163	-1.68819711352974	-0.563168208325957
IRF	0.260222517218389	-0.174618128730614	-0.58362495345214	-1.37743112196696	0.0109678836968264	0.197776176384403	0.523563469575856	-Inf
MADS-box	0.18024373732	-1.23284661800111	0.706499316337625	0.252122173881882	-1.06727109067384	0.209829846712373	-0.0846953589375455	0.0858611510874761
Myb/SANT	0.262418044071785	-Inf	1.32326309108907	-0.675029062513879	-Inf	0.291932489140783	0.0150718249397595	-Inf
NA	0.190961454229962	0.240335844048048	-0.361543047903648	-0.118497758087612	-0.415559846195396	-0.446481969482959	0.329293965977616	0.564948739605405
NRF	-0.142417858192524	0.052545705931295	-0.211323081248374	0.018777850897324	-1.05668885336658	-0.761451083528698	0.724254851653263	-Inf
Nuclear receptor	-0.440735950737747	-0.44939631077177	-0.0639985457341678	-0.593503658772154	-0.344104969195851	0.0225814513980211	0.585228743138801	0.70862560064964
p53	-1.02775321631585	-0.832789357894343	-0.467818231917795	0.0232094255985785	-0.512489313777651	-0.188219227399345	1.14412254061342	-0.126208168692495
Paired box	0.128246288997496	-0.0159717874631595	-0.189290639856278	-0.119948057287278	-0.507846843207243	-0.337148905411992	0.436144485180864	-Inf
RFX	0.811855831141884	-2.29026946679879	-0.550880463209478	-0.636885710275214	0.43066373354994	-0.791589281524315	0.866680774972921	-Inf
RHD	0.465061251130215	0.660399098783136	-1.22792671389202	1.01244468910544	0.331531511262966	0.49465581591425	-0.616618159362728	-Inf
RRM	-0.2799612660577	-2.21215389306616	-0.463299022224872	-0.556598217021641	-1.61190601167564	0.937649100070987	0.846243882099775	-Inf
Runt	0.595845411901492	-1.43445540514797	-0.448275993985052	1.40656202647277	-0.833924199578004	-0.528392866497745	0.138122650567913	-Inf
SAND	0.305743815564815	-1.2513099255692	-0.550880463209478	-0.0116461902724209	-1.69001691650059	0.335276969958676	0.714921938563423	1.08779761300349
SMAD	-0.290825997173585	0.444847364026917	-0.210043448064213	-0.0643640339485107	-0.703560203949421	-0.261213899696998	0.483537136046968	-0.575291944525252
Sox	-0.0698970392083749	-0.0443661770461848	0.0306584415538503	0.0797380834490954	0.197001781351312	-0.0163165399828928	0.00198396127179928	-1.26348990223585
T-box	0.998863901841913	-0.345384644880344	-0.8246265665875	0.413972869054358	-1.12303976996964	-0.829303018708067	0.409945187034594	-0.559018029625892
TBP	0.671151029312763	0.515716693106487	-1.19250509068759	0.9319654966367	-0.195959411808876	0.532397395312801	-1.20929109893569	1.53150827631103
TCP	-0.557357334040319	-Inf	1.40857982058926	-Inf	0.23746622557199	0.624548612754422	-0.177638959590347	-Inf
TEA	-1.93677106403001	-Inf	-0.785291655705122	-Inf	-1.14188105393364	0.65741583242441	2.00513999655521	-Inf
Zinc finger	-0.154747770051806	-0.508636918265612	0.000411515656620805	0.498121866335615	-0.0764302170748325	-0.307137382843818	0.287587088987768	0.31421541227127
