0	1	2	3	4	5	6	7
AP-2	0.570778502501001	1	0.619260712080447	1	0.478641213689785	1	1	0.291928272154036
AP2EREBP	0.0775576330182288	0.060465477032617	0.495925212561747	1	1	0.236025411390026	0.195407198713061	0.158673037270558
ARF	0.123936166900083	0.352990999489351	1	0.256947311670012	1	0.358473936353592	0.276913187952943	0.265236693126341
ARID	0.0407567250364693	0.151235116545253	0.00442581099495287	0.392845167827842	1	0.492136218597471	0.000696628858139896	0.618063849663787
ARID/BRIGHT	0.10082711052867	0.0543060439215502	0.340754891236852	0.818900245499197	0.251083489630102	1	0.110997821543564	0.202595901105142
bHLH	0.398406171434689	0.0290275791721049	3.568287424226e-10	0.387360416492556	0.848292163049268	0.188290290207139	9.52815750523323e-15	0.0193115698011895
bZIP	3.87216419566913e-13	0.0426415320791656	0.0288383122846107	2.32174937619998e-06	0.660510232286412	0.0216561438691747	2.33102865981913e-06	0.00216316879858138
C2C2dof	0.146931040679879	0.251369329460307	0.00663401615409426	0.0203795490780273	0.657902992104566	0.142438486037399	0.0117011370864817	0.573144243615454
CAMTA	0.574664159429251	0.767162770321539	0.628908511566881	0.48886529743196	0.0717782861051705	0.779536255630594	0.684710091707821	1
CBF/NF-Y	0.432814164949455	0.255931339283159	0.606377475503023	0.461649028939372	0.854547342145033	0.199049471173532	0.000163419865903573	0.0987752626078425
CP2	0.0581737425980848	0.0751748340460932	0.357696056009596	0.796397679871178	0.596357892843616	0.399832779903261	0.166752582942158	0.466890987123887
CSD	0.84201084998621	0.0189030926014382	0.60215977665681	0.321661781594527	0.321995136506665	0.109411131555459	2.29872043697515e-07	0.154383119777974
CSL	0.341660409446096	0.0430507582005504	1	1	0.236368505006628	0.246515807395837	0.0503433374951887	0.534596387102523
CTF	0.269064433282113	1	0.846009571552756	1	0.162051740245952	0.651575808341122	0.254481286226212	1
CxxC	0.421108659664405	0.391862384766622	0.479437419188305	0.51193634057617	0.170503913092116	1	0.325111824878543	1
DM	1	0.0822148649215648	0.302901183095076	1	0.249762045152167	1	0.608190785365074	0.396857251201334
E2F	0.9171722947343	0.443888033187246	0.100737808502827	0.297600192271306	0.0185419223187174	0.752822790799968	0.00132611557194841	1
EBF1	0.582786225780643	0.439042197970852	0.425162115755789	0.172584688697341	0.364777364029631	0.354360483778985	0.423460729330407	1
Ets	0.504863703411086	0.00129123586817817	5.11752833835794e-05	0.926232274656885	0.0638244927093929	0.0201598518083268	6.88669463928653e-09	0.0687322378100826
FAR1	1	0.242063882266461	0.137941553973708	0.721119910264539	1	1	0.4117012370615	1
Forkhead	0.863400540350465	8.46277686139768e-06	0.00124057142639524	0.131927639600682	0.782883863642031	0.124649172053697	1.06594631928491e-17	0.26213252399213
HMG	0.582763353526906	0.562597834774947	0.688667585025527	0.250332102979271	1	0.518887478775007	0.688252821937009	0.391227342080192
Homeodomain	3.64820587610515e-05	0.00018377100281251	0.0246121005393827	0.787686604856279	0.089405278365349	0.942342404661605	0.00422605898579415	0.444986969536658
HSF	0.0564987914452357	1	0.221933656930568	0.556506832293386	0.559384371209611	0.638238271838165	0.0256983591392399	1
HTH	0.456765670876831	1	0.149985021211056	0.707315788431234	0.708358159216953	0.653198819138545	0.0631799164875576	0.638782588848783
IPT/TIG	0.00357627817505488	0.0210680986072183	5.85707006419961e-05	0.000958217827606294	0.123068845953029	0.58136212702741	3.15527865160969e-06	1
IRF	0.300005516734681	0.620527953922454	0.0316471804785537	0.0042642596470449	0.906813467736487	0.447040921731691	0.00580476420329837	0.0808113027440737
MADS-box	0.731777257349654	0.103890713938308	0.071210863432669	0.66648279057415	0.284433367980385	0.606955602043545	0.900952646551115	0.613315183701972
Myb/SANT	0.735766452252996	0.157939181207427	0.0699761173337045	1	0.398618025118015	0.732816825996433	1	1
NA	0.560977667955373	0.462958429194358	0.308836354427329	0.885198528550748	0.469218831833859	0.291651421212159	0.174316206774572	0.462636370222693
NRF	1	0.827050606555681	0.854747358654296	1	0.433968905130791	0.399832779903261	0.0907354566156883	1
Nuclear receptor	0.0444614295471079	0.0486658384408674	0.769610917934711	0.036269988383832	0.211595510667278	0.892800369711019	1.57896685508463e-05	0.147654502613348
p53	0.109848729435046	0.238947630909434	0.332857492220265	0.844117129662124	0.55493184131313	0.872603696676903	0.000266387301410488	1
Paired box	0.666999036853118	1	0.572369092922464	0.893071671560851	0.346653368754183	0.385817339986944	0.0491587689853103	0.182180939117813
RFX	0.150568330764914	0.123146382034347	0.53204568312321	0.766714771189202	0.54400257258255	0.472637412632005	0.0778955671239117	1
RHD	0.251786151739223	0.1190811879802	0.0294052938720948	0.0357274608354752	0.535551886365002	0.244787149947059	0.118338929758133	0.629411413576268
RRM	1	0.118760405159515	0.667015809276928	1	0.362764495881432	0.129417697042439	0.103294713817613	1
Runt	0.262401766083185	0.230312796665469	0.559107352820275	0.0184679594503252	0.579476830822633	0.649981904639427	0.743736347877299	1
SAND	0.629530473016896	0.312443295849349	0.53204568312321	1	0.365965231380636	0.626075350471925	0.159275167664095	0.381786240973754
SMAD	0.586081680995774	0.24903458185885	0.633968464360891	1	0.307661487655038	0.679732762421349	0.0897225237468465	1
Sox	0.753279966975747	0.894641829686855	0.825797060757593	0.694182742567643	0.347201715397059	1	1	0.174885162904066
T-box	2.5295827938214e-05	0.356517486704855	0.0048055507875159	0.18103868344054	0.0151540138754758	0.0182449717273761	0.039256876319574	1
TBP	0.167241378105541	0.301324008639207	0.0833069879739051	0.0868813118638493	1	0.3180266481153	0.0204027004551105	0.158673037270558
TCP	1	0.626079278395574	0.114367231305913	1	0.591720835117541	0.639477315687812	1	1
TEA	0.245291402431149	0.0662685487879357	0.459228964305471	0.265849142035602	0.719563312418959	0.376860957984258	0.000431110144491236	1
Zinc finger	0.149433371555447	1.449999837823e-05	1	1.92269561695079e-05	0.599224660620387	0.00458698812151392	7.47802777982523e-05	0.283641557724119
