0	1	2	3	4	5	6	7
Tfdp1/2/3.2	5	7	12	7	5	7	7	2
Arf1/2/3/4/5/6	6	1	4	0	2	1	10	1
Etv1/4/5	4	3	4	3	1	5	14	0
Nfe2l1/2/3	6	4	9	2	5	7	17	1
Ceh-31.2	14	14	17	4	3	11	28	2
Hoxb1.3	141	143	190	95	89	146	283	9
Her	16	4	8	1	3	7	12	0
Foxj2/3.3	17	9	20	6	11	19	11	3
Arx.4	81	96	128	62	64	88	167	8
Tbx20.3	9	2	3	3	2	4	11	0
Znf143	2	1	5	3	3	1	11	1
Nr6a1.1	4	2	6	1	3	8	15	1
Tlx1/2.1	14	24	22	9	12	16	21	1
Rx/3	3	8	4	4	6	3	12	1
Zic1/2/3.4	10	2	5	3	2	5	8	1
Cdc5l	3	0	7	1	0	3	6	0
Mybl1/2	4	2	1	1	3	1	6	0
Tp53/63/73	2	3	3	2	2	2	15	1
Uncx4.1.5	2	4	6	2	2	2	17	0
Atf1.40	4	3	5	0	6	1	6	0
KH.C1.1304	40	51	61	25	27	39	69	5
Hat1	3	1	3	2	1	1	12	0
Barhl1/2.4	27	25	47	13	13	28	49	4
Grhl1/2/3	2	10	6	3	5	4	20	1
Sox14/21	17	22	31	18	14	17	43	3
Ppp1r13b	3	0	7	3	2	4	19	0
Dmbx1.2	1	1	2	1	0	1	6	0
Hoxa2b	24	23	47	12	14	26	50	3
Hoxd3	4	3	5	7	7	5	21	0
Barhl1/2	3	7	9	1	4	4	13	0
Zeb1/2	1	2	3	1	1	1	20	0
Hoxb2/3.58	1	4	5	1	2	3	10	0
Barx1/2.15	27	25	47	13	13	28	49	4
Hes1/2/4	8	4	8	4	2	2	16	0
Hoxc10/11.7	6	5	4	4	4	2	9	1
Klf10/11/2/4.1	0	2	5	4	2	3	20	0
Sox1/2/3	10	8	9	5	6	10	25	1
Ebf1/2/3/4.1	10	5	9	2	7	11	23	0
Ppp2r4;Prdm15	5	1	1	3	6	5	16	1
Hmbox1	8	12	22	3	2	12	27	3
Ybx1/2.2	6	1	8	2	2	3	36	2
Crebzf;Creb3l1/2/3;Crebbp.1	84	57	96	29	34	66	113	12
Ets96b	4	0	1	2	2	8	11	0
KH.C10.148	3	0	3	3	0	7	11	0
Xbp1.1	9	4	5	4	5	7	20	0
Yer130c	19	9	25	36	7	22	37	5
Atf3.8	8	6	13	5	6	7	10	0
Hey1/2.2	7	3	5	6	2	3	15	1
Tbp.7	11	9	5	8	4	10	9	2
Mef2d	5	2	7	4	2	5	12	0
