0	1	2	3	4	5	6	7
AP-2	4	3	9	1	3	4	5	0
AP2EREBP	6	2	8	4	8	6	4	2
ARF	5	1	1	0	0	1	2	0
ARID	1	0	0	0	0	2	0	0
ARID/BRIGHT	2	3	3	0	2	2	2	1
bHLH	108	113	140	52	119	118	115	3
bZIP	533	352	565	228	379	477	384	32
C2C2dof	2	1	0	4	1	4	1	0
CAMTA	3	1	2	1	2	3	2	0
CBF/NF-Y	41	31	73	18	27	55	26	4
CP2	2	3	2	2	1	3	4	0
CSD	3	0	4	1	1	2	2	1
CSL	1	1	6	2	3	7	2	0
CTF	2	3	6	0	1	1	0	0
CxxC	2	0	6	2	1	4	3	0
DM	3	2	5	2	1	3	3	0
E2F	7	9	21	5	7	20	7	3
EBF1	2	2	2	0	1	3	0	0
Ets	19	5	23	19	10	34	17	0
FAR1	4	3	5	1	4	3	2	0
Forkhead	196	204	362	157	156	332	138	24
HMG	8	7	20	4	3	11	5	1
Homeodomain	296	270	537	201	234	474	222	44
HSF	1	0	1	0	2	1	0	0
HTH	3	2	7	3	4	7	4	1
IPT/TIG	6	3	5	2	4	6	5	1
IRF	6	6	12	6	6	15	3	0
MADS-box	1	2	7	2	0	4	1	0
Myb/SANT	1	0	3	3	0	2	1	0
NA	11	5	9	3	8	12	2	1
NRF	5	3	7	5	2	4	4	0
Nuclear receptor	26	24	51	12	27	52	25	1
p53	2	2	8	5	6	6	4	0
Paired box	13	10	12	8	10	9	11	0
RFX	4	0	1	1	1	2	0	0
RHD	4	3	4	3	3	4	1	0
RRM	1	1	1	1	1	6	2	0
Runt	4	2	5	4	1	1	1	0
SAND	5	2	4	3	3	4	2	0
SMAD	9	6	12	9	4	10	5	1
Sox	9	17	32	8	13	26	20	1
T-box	7	3	11	3	1	7	6	0
TBP	3	2	3	0	2	4	2	0
TCP	1	0	2	1	1	1	1	0
TEA	0	0	0	0	0	2	2	0
Zinc finger	148	79	207	156	107	163	98	14
