0	1	2	3	4	5	6	7
AP-2	-0.0951477784817047	-0.160867680006926	0.928747802611606	-1.5220617374127	-0.134178546420123	-0.54247317418281	0.834329100087836	-Inf
AP2EREBP	0.0752786101271143	-1.33396059752566	-0.0922192484185004	0.19184830534335	1.11636663215077	-0.37255889053882	-0.142760627728724	2.06846031979744
ARF	2.55237575655647	-0.553287562289302	-1.73059286611876	-Inf	-Inf	-1.44271792850835	0.733047456975202	-Inf
ARID	1.81222255948187	-Inf	-Inf	-Inf	-Inf	Inf	-Inf	-Inf
ARID/BRIGHT	-0.188279220184935	1.03388660186417	-0.144537577118314	-Inf	0.281522034585816	-0.635145981546756	0.317583627330896	2.47584601485044
bHLH	-0.0396456899482126	0.532695992969189	-0.292856508930774	-0.477489971810954	0.669138687417419	-0.34116911173895	0.637774818075623	-1.80308519129645
bZIP	0.532268559456405	0.0586974711679268	-0.347996037768426	-0.402849831396571	0.285144506507495	-0.406157607857051	0.372726574811553	-0.39736880103174
C2C2dof	0.812637574449818	-0.0674324630833561	-Inf	3.65529531711953	-0.0408038280448624	2.36769161997745	-0.00479532216064731	-Inf
CAMTA	0.813047078132302	-0.746163844340427	-0.730084173561502	-0.349793801109987	0.474416969861329	0.366135049521671	0.510446157798813	-Inf
CBF/NF-Y	-0.0610111365954176	-0.116273681260814	0.396747795011071	-0.629032412009454	-0.329990731726936	0.0612740633510174	-0.35788287973643	0.09359599144013
CP2	-0.358447475697672	0.84098405398826	-1.09323599814221	0.481440971887808	-1.0419446020781	-0.0494841744912079	1.51266154613447	-Inf
CSD	0.813047078132302	-Inf	0.757082540333696	-0.349793801109987	-0.719542652436565	-0.442137571556133	0.510446157798813	2.6458561506256
CSL	-1.99806541643108	-1.554998377439	0.494173516104804	-0.0499656111619138	0.281741023652835	1.17577930493901	-0.384018161142481	-Inf
CTF	-0.188279220184935	1.03388660186417	1.66542248812536	-Inf	-0.889702731315271	-1.80604599254574	-Inf	-Inf
CxxC	-0.648444823501201	-Inf	0.857347901633565	0.191466350656427	-1.3054861944641	0.196067655963668	0.58132455155238	-Inf
DM	0.397543436862579	0.0847755872550716	0.816319701436432	0.481440971887808	-1.0419446020781	-0.0494841744912079	0.903665203155439	-Inf
E2F	-0.777612411207168	0.103317019304594	0.66801824602863	-0.489953772725527	-0.30579714413519	0.836065049605861	-0.269598178329668	1.72130569677124
EBF1	0.490497917136388	0.933561210992069	-0.244080696979555	-Inf	-0.304050069825583	0.951631968592319	-Inf	-Inf
Ets	0.0379828074820005	-1.74129289415875	-0.332953582029266	0.889404580416913	-0.612793913042888	0.820238036370525	0.342991472320198	-Inf
FAR1	0.353295758283544	0.255074439949951	0.0781970794311495	-1.15853931933212	0.823729791766365	-0.635562165167401	-0.384018161142481	-Inf
Forkhead	-0.413508568559647	0.191534075180393	0.118989711832583	0.122568266885308	-0.325129400317534	0.242632931039663	-0.519554127544591	0.222314630458664
HMG	-0.23373652112342	-0.0256999853180772	1.0141558551917	-0.561715123089586	-1.3876372554989	-0.0822717960413637	-0.53360269409119	0.317992777091006
Homeodomain	-0.302413463840024	0.0532922606063669	0.262478214955646	-0.0841448653459274	-0.227908624669038	0.286682912397226	-0.294666354253436	0.778527210628487
HSF	0.227140189907467	-Inf	-0.507151835606217	-Inf	2.28265521559361	-0.21938824423881	-Inf	-Inf
HTH	-0.774899954864179	-0.995653928267351	0.0782663671097675	0.0658249470737066	0.194240465404783	0.36681197392134	0.230343719161429	1.32205256061517
IPT/TIG	0.227836488887845	-0.554425936814183	-0.850479109989901	-0.811063005660547	-0.0409104595611864	-0.220008133903407	0.392573742339287	1.11985807160427
IRF	-0.559882838087461	-0.115308544163335	0.0192448105022569	0.282928418626353	-0.0885559079850061	0.817846837657512	-1.19007553973224	-Inf
MADS-box	-1.51159842534181	0.0847755872550716	1.88842395753191	0.481440971887808	-Inf	0.559185208269886	-1.0059358295941	-Inf
Myb/SANT	-0.996179227850212	-Inf	0.341387412256481	1.91664375961727	-Inf	-0.219511942437075	-0.490661800820445	-Inf
NA	0.690288218316592	-0.331926726835853	-0.454631316130082	-0.7675876978605	0.529215462208675	0.42932127247154	-1.73293649067428	0.553679203587073
NRF	0.227697388772657	-0.248590911707946	0.185466310596111	1.06944442891699	-0.890756178061686	-0.635978898193863	0.318082766773275	-Inf
Nuclear receptor	-0.426740125451857	-0.117078373107606	0.153902269836435	-0.866876045336577	0.119847119723313	0.492423535005833	0.0188855956383678	-1.58284226262241
p53	-1.71578829251324	-1.27230955237503	-0.00946102006810293	0.653253741161535	0.620677104628085	-0.298285415298622	-0.0754581875303558	-Inf
Paired box	0.428038214710411	0.369723210203483	-0.469264281228209	0.367877387577176	0.396536563767328	-0.7166393416189	0.611329715727661	-Inf
RFX	3.81471539334318	-Inf	-0.922431422606246	0.651018670753354	0.281303387305377	0.781201444877467	-Inf	-Inf
RHD	0.227558458841785	0.139430073486814	-0.507978769361373	0.536435849577558	0.166102552117846	-0.219759757962993	-1.59213638644411	-Inf
RRM	-1.1890698505526	-0.746163844340427	-1.92344705277103	-0.349793801109987	-0.719542652436565	2.36890820401551	0.510446157798813	-Inf
Runt	0.491046374686961	-0.330983075899233	0.230469780675438	1.33206814198485	-1.4212085770561	-2.33765519833977	-1.38519401378619	-Inf
SAND	1.13629629425358	-0.205214432379664	-0.0920461312072653	0.915556332750665	0.545266385396615	0.196067655963668	-0.142497006785897	-Inf
SMAD	0.228254813477151	-0.0677251802488643	0.0784401248335672	1.07267731624723	-0.721944403506969	-0.0129192838358898	-0.316631952829922	0.511654933603722
Sox	-1.29720492792543	0.236545912474114	0.327316938964531	-0.641587441002335	-0.210714778815475	0.161244177732321	0.603197566527618	-0.779079372341593
T-box	0.0961771244375419	-0.918486242796954	0.290779732927902	-0.52127641676288	-2.58276025778221	-0.351930919241154	0.318583484028269	-Inf
TBP	0.813047078132302	0.447779188633876	0.078127914354291	-Inf	0.474416969861329	1.04515906085848	0.510446157798813	-Inf
TCP	0.227140189907467	-Inf	1.0785879042256	1.06623195044025	0.69654575338836	-0.21938824423881	0.732545402654132	-Inf
TEA	-Inf	-Inf	-Inf	-Inf	-Inf	1.36635546498385	2.31868946594407	-Inf
Zinc finger	0.0968670531582992	-0.615882990360325	0.025739189041322	1.16470993123786	-0.0299936202428366	-0.191643324328228	-0.15632503094269	0.179714272748789
