0	1	2	3	4	5	6	7
AP-2	1	1	0.21634001085944	0.501577423583692	1	0.615571617245996	0.231078449673244	1
AP2EREBP	0.817314372896456	0.296607906029526	1	0.774460142532883	0.069676762453547	0.667159062700435	1	0.0920191172341018
ARF	0.0162578968479299	1	0.449748647881846	0.609174807191535	0.365931917404211	0.456269411595879	0.62815407508642	1
ARID	0.394229576398944	1	1	1	1	0.0781290708044943	1	1
ARID/BRIGHT	1	0.392252159694971	1	0.375914161913279	0.683120384713232	0.735686574944298	0.677622287047953	0.180429545981108
bHLH	0.866422702752336	0.00134346806095395	0.0517332373101302	0.0301121457264451	5.31447053592061e-05	0.0293415582986225	0.000132418037388068	0.017849154828818
bZIP	4.20066316200638e-09	0.573491700722092	3.13249226737176e-05	0.000496929614713379	0.00461573118202553	3.62959002935475e-06	0.000233861519673538	0.212323108370565
C2C2dof	0.61997490423161	1	0.186230992534031	0.00421603580043681	1	0.0553386629119379	1	1
CAMTA	0.425005061859617	1	0.727482688584867	1	0.656102756658671	0.716446213872358	0.651608220153243	1
CBF/NF-Y	0.86010437439579	0.771167753927702	0.0709555814714593	0.0875105062639462	0.328820742496074	0.806333426277802	0.279237632742305	0.790530471070424
CP2	1	0.417510217028372	0.519979330127116	0.655098642782059	0.70244231247462	1	0.0961919697620881	1
CSD	0.425005061859617	0.374079504516444	0.481007806111897	1	1	1	0.651608220153243	0.1639477924741
CSL	0.215609341256665	0.492549883070452	0.581676662511922	1	0.731246931562829	0.145306259307709	1	1
CTF	1	0.392252159694971	0.085506203123321	0.375914161913279	1	0.300929809955042	0.386363096098379	1
CxxC	0.745582815641275	0.143048509576138	0.371643610021067	0.696749536033571	0.709726744788035	0.764461166269797	0.466282775640812	1
DM	0.716523241611551	1	0.346665307974705	0.655098642782059	0.70244231247462	1	0.408180058639792	1
E2F	0.227156825148449	0.849578156170868	0.124207281264227	0.675563364810151	0.706250510755827	0.0542719108988833	0.847321603288325	0.071421646699785
EBF1	0.654939505803061	0.348736447417717	1	0.603569385785118	1	0.407674882872124	0.609333652506439	1
Ets	0.895229083825006	0.00338096074850993	0.41075745200783	0.0243943320141541	0.243611057232451	0.0138874603988844	0.377629463216138	0.415380914576135
FAR1	0.754800757872823	0.734109236641719	1	0.70949521743924	0.305205152289757	0.773503523431517	1	1
Forkhead	0.000669640902031839	0.124530491911201	0.2408400509879	0.385109790910503	0.0151576521060386	0.0217348357353549	0.000152607166818673	0.47428654761445
HMG	0.850587000169713	1	0.0283910784285909	0.648192418212334	0.140960101773252	1	0.533580448468161	0.558539854064033
Homeodomain	0.00368356254443344	0.645011811823497	0.00311912267950804	0.526646262663538	0.0488267943840618	0.00187724962803513	0.0113605016468535	0.0046202854507026
HSF	1	1	1	1	0.137435779768059	1	1	1
HTH	0.597865780395372	0.561811139812763	1	1	0.7719691440799	0.62711586857896	0.768827320556516	0.341760600056387
IPT/TIG	0.805112224188719	0.786558963520534	0.279520585731431	0.764021102571307	1	1	0.582587527141916	0.379998521540366
IRF	0.550671603606941	1	1	0.631463341794437	1	0.0983454865286733	0.189412850110029	1
MADS-box	0.474272695974284	1	0.0455766550638881	0.655098642782059	0.229790193381027	0.513377799896588	0.703494428608804	1
Myb/SANT	1	0.365403846847046	0.71745820982709	0.0849451908845105	0.365931917404211	1	1	1
NA	0.218462131421564	0.823252666183914	0.472496268067728	0.468979057230816	0.366386007812517	0.449852749985498	0.10810823484445	0.502270774315788
NRF	0.787530976380825	1	0.81214693864975	0.180984846945904	0.558191968433586	0.61817933196193	0.762076229210432	1
Nuclear receptor	0.193600980141116	0.826144979597387	0.534577411422761	0.0521828171756763	0.659867433349163	0.0520560624511613	0.911605126474453	0.372834821722334
p53	0.0952758898157725	0.293904901606212	1	0.376871013342766	0.419753965016224	0.824307162086897	1	1
Paired box	0.378181130528506	0.441894864899563	0.433178244808824	0.521382064734407	0.436351887885094	0.195514338864607	0.236720984863792	1
RFX	0.00990571829983137	0.595130298984094	1	0.522468435451982	1	0.623352529008693	0.597737407320158	1
RHD	0.765127432046011	0.748798904655374	0.789256292473183	0.474145959708729	0.745286689721049	1	0.497898927002535	1
RRM	0.693698996656061	1	0.287437258857796	1	1	0.0176779448741248	0.651608220153243	1
Runt	0.526901710173579	1	0.778632271202924	0.114529022957349	0.487964311452029	0.131651346421131	0.489032165018122	1
SAND	0.178703344566404	1	1	0.406750870797383	0.47482640310239	0.764461166269797	1	1
SMAD	0.687909842883594	1	0.859517012555379	0.0827521937021243	0.503493591414295	1	0.823670087774605	0.512120297251491
Sox	0.00835283730816041	0.565668160531661	0.352442669440353	0.2712231062135	0.772744004117505	0.629785746974545	0.109173804898606	1
T-box	0.827575399119787	0.465366922180876	0.563765396623798	0.790223519960478	0.0486787391621848	0.685981581626838	0.623134236696721	1
TBP	0.425005061859617	0.659561782379645	1	0.620730085559722	0.656102756658671	0.277142138525221	0.651608220153243	1
TCP	1	1	0.598177582668051	0.446367143994659	0.526937955635049	1	0.51889955538657	1
TEA	0.581789907616486	1	0.312685822170648	1	1	0.312451414240786	0.132535778563171	1
Zinc finger	0.515002681850734	0.000424319294384194	0.858616144851411	1.80422381174319e-14	0.911934398052052	0.16471214944956	0.372397616068198	0.652386399498256
