0	1	2	3	4	5	6	7
Tfdp1/2/3.2	5	3	7	1	4	4	3	2
Arf1/2/3/4/5/6	5	1	1	0	0	1	2	0
Etv1/4/5	1	1	2	3	1	2	2	0
Nfe2l1/2/3	2	3	7	1	3	3	3	0
Ceh-31.2	1	1	0	1	0	0	1	0
Hoxb1.3	23	20	41	21	13	44	20	3
Her	6	4	6	2	6	11	7	0
Foxj2/3.3	7	8	12	7	7	14	3	1
Arx.4	16	15	30	14	13	20	5	1
Tbx20.3	0	1	1	0	0	2	1	0
Znf143	3	1	1	3	1	1	3	0
Nr6a1.1	2	0	2	0	2	2	2	0
Tlx1/2.1	1	2	5	1	2	2	2	0
Rx/3	0	0	0	0	0	0	1	0
Zic1/2/3.4	10	1	4	6	3	3	3	1
Cdc5l	1	0	3	3	0	2	1	0
Mybl1/2	1	1	2	1	2	2	2	0
Tp53/63/73	0	1	3	1	2	0	2	0
Uncx4.1.5	1	0	3	2	0	1	1	1
Atf1.40	1	3	4	0	6	2	1	0
KH.C1.1304	13	9	16	8	12	17	8	2
Hat1	0	0	1	0	1	1	0	0
Barhl1/2.4	3	2	6	3	2	6	1	1
Grhl1/2/3	2	3	2	2	1	3	4	0
Sox14/21	4	3	13	4	2	6	3	1
Ppp1r13b	2	0	4	2	3	3	2	0
Dmbx1.2	1	0	2	1	0	2	0	0
Hoxa2b	4	2	7	3	2	6	1	1
Hoxd3	0	0	1	1	3	1	1	0
Barhl1/2	0	0	0	0	0	0	0	0
Zeb1/2	0	1	2	0	0	2	0	0
Hoxb2/3.58	0	1	0	2	1	3	3	0
Barx1/2.15	3	2	6	3	2	6	1	1
Hes1/2/4	7	5	9	4	7	3	8	0
Hoxc10/11.7	0	1	1	1	1	0	2	0
Klf10/11/2/4.1	1	2	4	2	2	5	3	0
Sox1/2/3	3	5	6	1	5	7	7	0
Ebf1/2/3/4.1	2	2	2	0	1	3	0	0
Ppp2r4;Prdm15	3	1	0	1	3	5	3	1
Hmbox1	2	1	2	1	0	1	1	1
Ybx1/2.2	3	0	4	1	1	2	2	1
Crebzf;Creb3l1/2/3;Crebbp.1	86	63	97	36	60	79	63	6
Ets96b	2	0	3	1	2	4	2	0
KH.C10.148	1	0	2	1	0	3	2	0
Xbp1.1	4	1	5	5	4	3	4	0
Yer130c	23	6	29	39	15	29	16	5
Atf3.8	11	7	12	7	9	8	8	0
Hey1/2.2	6	8	6	4	6	4	9	1
Tbp.7	3	2	3	0	2	4	2	0
Mef2d	0	0	2	0	0	2	0	0
Six3/4/6.15	21	21	36	10	17	36	19	2
KH.C10.150.10	2	0	2	0	0	1	1	0
KH.C10.113.173	2	0	2	1	1	1	1	0
Hoxc4/5.1	3	3	4	2	2	2	1	0
Vdr	2	1	4	1	1	1	1	0
Sf1	0	1	3	1	3	1	3	0
Creb3l3	6	3	11	5	9	8	8	1
KH.C10.106.5	11	10	14	4	13	12	8	0
KH.C10.174.45	38	25	56	17	30	58	26	2
Ap1s1/2	9	9	15	6	8	9	7	1
Rbfox1/2/3	5	3	4	0	2	5	1	0
Nkx2-1/4.18	23	20	41	21	13	44	20	3
Rel	4	3	4	3	3	4	1	0
Ets1/2.1	0	0	1	2	2	3	1	0
Gm10391	0	1	0	1	0	3	1	0
Fosl1/2	9	8	14	6	10	9	8	1
Thrb	1	2	5	1	2	2	2	0
Cog1	2	1	0	4	1	4	1	0
Phox2b.2	0	0	1	0	1	1	0	0
Foxn1	11	3	9	3	7	11	4	1
Lhx1/5	0	0	2	0	1	2	0	1
Srf	1	2	5	2	0	2	1	0
Arid3b	1	0	0	0	0	2	0	0
Irf4/5	2	3	3	2	4	6	0	0
Foxa1/2/3.2	8	8	14	5	7	11	4	0
Esrrb.1	0	1	3	1	1	2	1	0
Doc1/2/3	1	0	3	0	0	1	1	0
Doc1/2/3.1	0	0	3	1	0	1	1	0
Aspdh	2	4	8	2	4	2	4	0
Sox10/15/8/9.6	2	2	4	0	2	4	3	0
Zbtb44	1	1	4	1	0	1	1	1
Uncx	0	0	1	0	0	0	0	0
Pknox1/2.1	2	1	3	0	0	2	2	0
Mycbp	9	4	6	2	7	8	10	0
Irf10/4/8.1	0	1	1	1	0	4	2	0
Foxl1	6	12	21	10	5	12	3	2
Nub.2	0	0	4	0	0	2	0	1
Pou2f1/2.6	1	1	0	1	3	0	2	0
Far1/2	4	3	5	1	4	3	2	0
Maf.28	1	1	3	3	2	3	1	0
Mafg/1/2.5	1	3	5	2	4	7	5	0
Tbx19.13	1	0	1	1	0	0	1	0
Hnf1a.6	2	2	5	1	1	1	1	0
KH.C12.695.2	1	0	0	0	0	1	1	0
Smad2/3.1	3	2	4	1	1	3	3	0
Foxk1/2.2	7	9	20	8	5	11	5	1
Rbpj.12	2	0	1	1	1	2	1	1
Runx1/2/3.13	4	2	5	4	1	1	1	0
Ahr.2	2	5	5	3	4	8	3	0
Hoxd12/9	2	4	3	1	0	2	1	1
Hcm1.6	7	9	15	2	8	18	4	1
Rfx4/6	0	1	3	0	0	3	0	0
Egr1/2/3/4	3	5	8	2	3	9	2	0
Nr1d1/2.140	1	1	2	0	1	0	2	0
Klf6/7	1	2	4	1	2	2	1	0
Sp1/2/3/4/5/6/7/8/9	3	4	3	1	3	1	2	0
