0	1	2	3	4	5	6	7
Tfdp1/2/3.2	1	1	1	0.349165767988605	0.781038832430145	0.474681418043048	1	0.0687780519522121
Arf1/2/3/4/5/6	0.0162578968479299	1	0.449748647881846	0.609174807191535	0.365931917404211	0.456269411595879	0.62815407508642	1
Etv1/4/5	1	1	1	0.0589598831296746	1	1	0.331503745693827	1
Nfe2l1/2/3	0.394584502828323	1	0.614288332633526	0.497450440722824	1	0.430390208945351	1	1
Ceh-31.2	0.394229576398944	0.316511297894358	1	0.255900331986205	1	1	0.306345337124512	1
Hoxb1.3	0.575242135192509	1	0.486473438166482	0.176653392589957	0.10572563189037	0.0221098808532715	0.900572918755238	0.502029512979926
Her	0.817314372896456	1	0.402951289236693	0.5678173331948	0.430713451983583	0.123849644386321	0.183271943631678	1
Foxj2/3.3	0.460275111639106	0.686715099813598	0.740907335559013	0.505651130501229	1	0.490023157208846	0.142294789650403	0.567283562940406
Arx.4	1	0.438892066722605	0.102664819585988	0.172177659781287	0.875548436905147	1	0.0255748857093557	1
Tbx20.3	0.581789907616486	0.532900326420538	1	1	1	0.312451414240786	0.51889955538657	1
Znf143	0.387022880173195	1	0.449748647881846	0.0849451908845105	1	0.456269411595879	0.13560025611129	1
Nr6a1.1	0.654939505803061	0.612568302219453	1	0.603569385785118	0.341353015507164	1	0.331503745693827	1
Tlx1/2.1	0.693698996656061	0.659561782379645	0.157486929310654	1	0.656102756658671	1	0.651608220153243	1
Rx/3	1	1	1	1	1	1	0.167128481843372	1
Zic1/2/3.4	0.00565603291528918	0.232708793306805	0.338746467640056	0.0465525411479143	1	0.316409833964549	1	0.328501525303718
Cdc5l	1	0.365403846847046	0.71745820982709	0.0849451908845105	0.365931917404211	1	1	1
Mybl1/2	1	1	1	1	0.341353015507164	1	0.331503745693827	1
Tp53/63/73	0.212748293995251	1	0.71745820982709	1	0.631400278615843	0.115863175646171	0.62815407508642	1
Uncx4.1.5	1	0.595130298984094	0.336257148081474	0.141961978165369	0.596174965776307	1	1	0.0946655057954772
Atf1.40	0.701996139781105	0.392252159694971	0.735816933797955	0.375914161913279	0.00274182809732273	0.735686574944298	1	1
KH.C1.1304	1	0.861952006357726	0.57233467105574	1	0.481950108922888	0.883211308111699	0.723173301963675	0.316975452109644
Hat1	1	1	0.539565560766374	1	0.312163646787371	0.481007577875686	1	1
Barhl1/2.4	1	1	0.603977449605857	0.474145959708729	1	0.407439101159149	0.497898927002535	0.272761492996404
Grhl1/2/3	1	0.417510217028372	0.519979330127116	0.655098642782059	0.70244231247462	1	0.0961919697620881	1
Sox14/21	0.629332170709752	0.786558963520534	0.0274536637624089	0.562252298686676	0.412114792350781	1	0.785764500908491	0.379998521540366
Ppp1r13b	1	0.227443952166858	0.735816933797955	0.636496075967238	0.389592436797042	1	0.677622287047953	1
Dmbx1.2	1	0.595130298984094	0.659186808588654	0.522468435451982	0.596174965776307	0.623352529008693	0.597737407320158	1
Hoxa2b	0.778041573074324	0.753217537185677	0.441107774922491	0.720021259584127	0.753564903332902	0.588209745769869	0.337230407055548	0.287112786439685
Hoxd3	0.349368247344218	0.598321040936058	0.671273441033628	0.588118571733977	0.0660870744885825	1	1	1
Barhl1/2	1	1	1	1	1	1	1	1
