0	1	2	3	4	5	6	7
AP-2	44	38	74	25	32	47	72	10
AP2EREBP	94	62	196	68	50	108	186	16
ARF	51	35	75	21	23	43	56	4
ARID	47	47	75	37	30	46	61	5
ARID/BRIGHT	46	58	52	34	35	33	59	9
bHLH	2200	1573	2554	1469	1568	2027	3246	236
bZIP	5274	3651	5747	2897	3126	4411	7135	772
C2C2dof	79	61	84	46	35	59	55	5
CAMTA	69	47	91	43	68	65	79	12
CBF/NF-Y	1329	1113	1706	869	784	1340	1764	181
CP2	61	48	74	35	40	52	73	13
CSD	65	39	86	39	35	53	140	9
CSL	100	50	76	46	45	70	115	12
CTF	52	43	82	37	29	60	87	9
CxxC	43	40	71	30	30	41	54	8
DM	64	42	87	54	45	64	94	11
E2F	302	242	507	224	225	298	368	22
EBF1	56	29	56	19	24	34	69	8
Ets	772	510	873	416	449	704	914	75
FAR1	78	43	97	51	40	76	81	12
Forkhead	3955	3427	5112	2564	2618	3757	4520	482
HMG	297	244	354	169	197	260	396	30
Homeodomain	12827	10329	15932	7805	7302	11301	16926	1518
HSF	35	31	37	30	29	43	75	6
HTH	199	148	250	120	138	174	258	29
IPT/TIG	301	226	173	188	184	154	152	21
IRF	283	215	358	153	173	278	386	26
MADS-box	106	76	117	53	41	83	121	12
Myb/SANT	53	25	54	24	24	32	52	1
NA	229	155	230	145	141	197	285	26
NRF	112	78	133	82	60	94	118	15
Nuclear receptor	752	547	1019	437	408	779	1196	91
p53	125	73	203	101	106	118	224	20
Paired box	251	210	346	153	140	245	318	23
RFX	63	48	67	36	42	50	71	4
RHD	138	101	95	95	96	90	105	13
RRM	56	41	62	32	32	64	78	3
Runt	87	61	94	53	41	72	99	2
SAND	94	56	105	55	53	80	122	13
SMAD	166	125	227	111	99	164	239	20
Sox	479	404	645	318	336	458	663	45
T-box	483	277	382	289	184	365	630	51
TBP	59	31	35	30	26	38	48	4
TCP	21	17	35	25	23	29	33	3
TEA	35	24	31	22	25	35	79	4
Zinc finger	2659	2197	3631	1782	1608	2460	3778	326
