0	1	2	3	4	5	6	7
AP-2	0.228877921292355	0.737837607659966	0.165255711769099	0.194984204441594	0.925281241751003	1	0.68553766840997	0.155385514279606
AP2EREBP	0.00840111064764831	0.000318240433416954	1.52356254271578e-05	0.500778756485296	0.00524830623879767	0.958528699538418	0.0159353830952833	0.690268233686212
ARF	0.473999221838251	0.929342512078761	0.00996278571310082	0.140888381172376	0.371444828128733	0.802794261507427	0.474684746781982	0.669502972218549
ARID	0.372194727390499	0.363506731115235	0.192569196237503	0.463084180112484	0.781030979973702	0.815563450806419	0.229460601482311	0.693321372081012
ARID/BRIGHT	0.643271511594042	0.00188683036717731	0.225981318641678	0.505436419234097	0.335697836932924	0.0631417514684968	0.405856902303314	0.213944965727292
bHLH	0.0768770495115827	2.68951693082765e-07	6.77175124324349e-07	0.0433090309255454	6.43824005595795e-09	0.824110942541193	1.58343756473548e-07	0.0100122987697226
bZIP	4.01695476325618e-05	3.15799436207282e-06	1.35258584209977e-09	7.25857482779553e-05	0.0270214054188672	0.132949364869489	1.88943141029043e-14	5.1804691125691e-12
C2C2dof	0.0681006545070036	0.115266451817739	0.574955547239648	0.317875980322338	0.556148549095709	0.887747623712476	0.000127092115195991	0.369914848657334
CAMTA	0.701385417961582	0.200569718074344	0.767891654934768	0.874781492844102	0.000235992267147768	1	0.0582964410326938	0.301991484763811
CBF/NF-Y	0.0812985685478524	0.239360533796363	0.772630753686911	0.569148987662828	0.066171187454439	0.00247416443723159	0.0918900250352036	0.321397650337584
CP2	1	0.93828385809924	1	0.731478918246057	0.544572813514849	0.770643777144429	0.381726525994989	0.0591962234344934
CSD	0.558510832475141	0.0247702498604294	0.952203992650521	0.574751320906053	0.291970386560452	0.196125746915754	1.26791995821559e-07	0.861447060313197
CSL	0.0119392900615386	0.133569365590334	0.0202231390184742	0.762661947133462	0.760488234677724	1	0.226458108741256	0.411873264257439
CTF	0.262507197682275	0.586047866412887	0.300698672302306	1	0.222266357965306	0.379203014449539	0.346095275398351	0.457173743094046
CxxC	0.434441688812252	0.663316137878065	0.0961067179863845	0.923222755352918	0.845282389433145	0.805729630473033	0.182322411272304	0.397670859170049
DM	0.474529349065756	0.0708762910253934	0.857297250650809	0.0918875270936973	0.627157981821364	0.838502552335823	0.861051270448508	0.382904517977789
E2F	0.0488175073408375	0.232083354732971	1.82071762736033e-07	0.19778750872051	0.0806363392952966	0.925320298751124	6.45814717966368e-05	0.00184312812336992
