0	1	2	3	4	5	6	7
Tfdp1/2/3.2	83	64	91	57	52	83	84	10
Arf1/2/3/4/5/6	51	35	75	21	23	43	56	4
Etv1/4/5	66	48	79	38	38	58	70	5
Nfe2l1/2/3	57	54	73	52	44	57	82	10
Ceh-31.2	76	72	89	48	28	66	104	11
Hoxb1.3	967	828	1232	600	547	879	1286	96
Her	102	49	112	57	62	99	113	7
Foxj2/3.3	95	82	122	52	57	80	70	21
Arx.4	605	546	749	384	348	537	800	76
Tbx20.3	80	47	61	56	30	66	104	6
Znf143	46	33	58	32	26	54	65	5
Nr6a1.1	40	34	55	18	20	46	52	5
Tlx1/2.1	100	102	137	58	44	63	127	12
Rx/3	49	34	55	29	31	35	65	6
Zic1/2/3.4	57	34	70	36	25	48	73	6
Cdc5l	53	25	54	24	24	32	52	1
Mybl1/2	45	29	58	18	27	46	51	5
Tp53/63/73	47	24	65	29	29	36	63	8
Uncx4.1.5	48	42	74	22	32	44	67	4
Atf1.40	56	37	55	31	35	48	56	7
KH.C1.1304	208	201	248	119	128	169	206	22
Hat1	48	30	54	23	12	25	54	4
Barhl1/2.4	185	160	236	105	86	165	259	26
Grhl1/2/3	61	48	74	35	40	52	73	13
Sox14/21	143	124	177	80	104	122	179	13
Ppp1r13b	43	19	75	37	51	50	81	5
Dmbx1.2	33	21	32	9	8	18	23	3
Hoxa2b	183	158	235	105	85	165	258	26
Hoxd3	36	30	57	38	22	20	66	4
Barhl1/2	34	29	53	25	25	28	55	4
Zeb1/2	51	22	60	23	26	39	80	6
Hoxb2/3.58	64	39	70	40	26	43	74	9
Barx1/2.15	185	160	236	105	86	165	259	26
Hes1/2/4	72	50	102	53	54	65	94	9
Hoxc10/11.7	46	36	52	22	27	30	50	5
Klf10/11/2/4.1	56	54	78	53	31	55	100	7
Sox1/2/3	83	61	126	60	52	82	129	8
Ebf1/2/3/4.1	56	29	56	19	24	34	69	8
Ppp2r4;Prdm15	61	42	67	25	33	57	82	5
Hmbox1	65	71	91	46	26	64	101	11
Ybx1/2.2	65	39	86	39	35	53	140	9
Crebzf;Creb3l1/2/3;Crebbp.1	803	516	866	400	474	658	1070	128
Ets96b	37	28	54	20	23	44	59	5
KH.C10.148	43	33	53	31	21	48	64	6
Xbp1.1	95	58	98	47	48	92	109	11
Yer130c	241	270	420	196	155	240	372	27
Atf3.8	47	44	52	37	32	35	68	4
Hey1/2.2	79	46	87	46	50	54	99	6
Tbp.7	59	31	35	30	26	38	48	4
Mef2d	53	39	49	24	20	35	44	3
Six3/4/6.15	1010	757	1151	617	589	862	1269	133
KH.C10.150.10	36	39	59	23	21	41	52	2
KH.C10.113.173	79	42	71	33	37	47	107	5
Hoxc4/5.1	115	96	167	59	67	104	160	19
Vdr	42	35	59	29	27	48	88	12
Sf1	43	38	62	31	25	41	99	6
Creb3l3	129	96	143	68	74	134	199	28
KH.C10.106.5	152	138	180	125	148	182	198	24
KH.C10.174.45	1229	908	1466	767	743	1092	1749	134
Ap1s1/2	57	56	56	34	39	43	91	6
Rbfox1/2/3	49	30	60	31	39	46	71	13
Nkx2-1/4.18	967	828	1232	600	547	879	1286	96
Rel	138	101	95	95	96	90	105	13
Ets1/2.1	83	55	81	42	52	83	88	8
Gm10391	54	54	94	37	32	60	94	2
Fosl1/2	58	56	66	38	39	45	86	6
Thrb	43	26	54	17	22	41	74	8
Cog1	79	61	84	46	35	59	55	5
Phox2b.2	49	37	57	30	26	39	80	5
Foxn1	91	91	132	66	73	99	98	10
Lhx1/5	53	55	73	29	31	43	61	7
Srf	53	37	68	29	21	48	77	9
Arid3b	47	47	75	37	30	46	61	5
Irf4/5	57	40	69	31	29	73	89	6
Foxa1/2/3.2	92	85	154	80	77	123	124	9
Esrrb.1	40	31	63	23	21	37	58	2
Doc1/2/3	83	45	66	50	27	55	108	6
Doc1/2/3.1	54	30	51	33	22	51	78	6
Aspdh	77	59	87	48	50	66	71	9
Sox10/15/8/9.6	71	48	79	41	35	61	99	7
Zbtb44	48	42	62	30	27	41	66	6
Uncx	56	64	91	40	31	53	79	3
Pknox1/2.1	77	49	109	38	41	66	96	7
Mycbp	77	50	104	58	90	114	118	5
Irf10/4/8.1	49	43	72	23	29	54	82	4
Foxl1	136	143	209	103	86	121	172	14
Nub.2	26	21	54	21	14	25	56	4
Pou2f1/2.6	33	20	41	13	8	24	39	0
Far1/2	78	43	97	51	40	76	81	12
Maf.28	74	45	78	40	39	56	86	7
Mafg/1/2.5	75	45	96	50	45	68	90	11
Tbx19.13	44	31	32	32	22	38	63	6
Hnf1a.6	61	44	70	38	39	45	87	6
KH.C12.695.2	17	8	23	7	12	18	19	4
Smad2/3.1	35	22	29	24	19	35	31	3
Foxk1/2.2	146	101	198	105	96	140	180	13
Rbpj.12	59	30	74	33	22	44	83	4
Runx1/2/3.13	87	61	94	53	41	72	99	2
Ahr.2	22	22	39	24	22	33	43	4
Hoxd12/9	61	49	92	48	43	69	82	5
Hcm1.6	177	148	192	89	102	138	154	31
Rfx4/6	63	41	73	41	50	50	86	10
Egr1/2/3/4	101	72	104	54	45	94	118	14
Nr1d1/2.140	49	36	74	29	22	43	80	8
Klf6/7	51	32	79	22	31	52	76	12
Sp1/2/3/4/5/6/7/8/9	55	35	64	22	31	55	68	3
Pbx1/2/3/4.20	62	35	80	33	53	54	103	3
Lhx3/4.10	185	160	236	105	86	165	259	26
Myf5	16	17	23	6	5	14	49	2
Sox13/5/6	163	163	222	121	119	154	193	8
Scrt1/2.2	42	30	63	24	32	31	71	7
Bach1	83	49	78	43	52	60	63	4
Zfp819	51	35	59	27	24	40	82	6
Med7	61	66	99	52	48	72	93	7
Sp1/3/4/5	122	137	227	102	89	118	233	13
Hand/1/2	47	35	69	36	24	44	87	6
Irf1/10/2/5.1	61	57	86	41	49	69	96	10
Tefb.12	199	138	232	123	103	182	271	38
E2F7/8.2	79	63	127	52	61	78	81	6
Gmeb1/2.12	94	56	105	55	53	80	122	13
Elf2.21	42	35	54	21	24	44	54	3
Tead1/3/4.2	35	24	31	22	25	35	79	4
Cdx1/2/4.3	81	86	105	60	50	71	115	9
Snapc1	59	43	76	32	30	50	91	8
Hoxa10/3/9	41	18	51	27	25	45	57	6
Tfap4.4	13	14	21	3	5	7	12	1
Alx1/3	75	91	119	55	49	70	111	7
Smad1/5/9.2	41	37	67	30	35	42	67	1
Gabpa	67	45	79	41	38	55	64	5
Nr1h4/5	39	15	57	23	15	38	78	5
Celf1/2	56	41	62	32	32	64	78	3
Hoxa5/6/7	69	70	67	51	44	66	75	8
Msx1/2/3.3	78	47	111	39	38	74	93	10
Nr1h2/3.3	23	23	28	13	15	16	47	3
Myf5/6.1	133	81	130	61	58	93	284	12
E2F/1/2/3.1	65	55	131	50	49	60	91	2
Cr855307.2	46	36	68	19	26	37	56	7
Creb3l1/2.9	128	101	134	76	57	125	198	25
Pabpc1/2/3/4/6	63	58	62	47	39	55	57	4
Myf5/6.2	142	88	137	70	70	84	302	15
Rbpj.11	100	50	76	46	45	70	115	12
Pou4f1/2/3	52	42	68	30	37	46	78	9
Foxf1/2.1	149	150	196	104	114	154	146	12
Ssrp/1.1	58	39	62	29	49	46	62	6
SI:DKEY-154P10.3	41	33	55	28	30	41	53	8
Six4.25	218	142	237	121	105	166	234	24
Bhlha15.1	54	34	56	37	38	44	71	8
Irf3	116	75	131	58	66	82	119	6
Zkscan1/14/17/2/3/6	38	33	56	24	23	35	61	5
