	Gene ID	Uniq_Name	KH2013	KYname	KHname	Description	name	ENSMUSG	ENSMUST	annotation_1	annotation_2	loc	SNR	variance	denoised_SNR	denoised_variance	gene_network_leiden	gene_network_n	leiden	gene_clusters_leiden
Psmd1-KY.Chr1.2	KY2019:KY.Chr1.2	Psmd1-KY.Chr1.2	KH.L28.1	PSMD1	PSMD1	1:86064619:86139151:1 ENSMUSG00000026229.17 ENSMUST00000027432.8 protein_coding protein_coding Psmd1 proteasome (prosome, macropain) 26S subunit, non-ATPase, 1 [Source:MGI Symbol;Acc:MGI:1917497]	Psmd1	ENSMUSG00000026229.17	ENSMUST00000027432.8	protein_coding	protein_coding	1:86064619:86139151:1	0.6311995699629661	1.1892145	0.4663929368960407	1.102542	0	45	0	0
Irs1-KY.Chr1.4	KY2019:KY.Chr1.4	Irs1-KY.Chr1.4	KH.L28.6	IRS1	IRS1/2/4	1:82233101:82291416:-1 ENSMUSG00000055980.2 ENSMUST00000069799.2 protein_coding protein_coding Irs1 insulin receptor substrate 1 [Source:MGI Symbol;Acc:MGI:99454]	Irs1	ENSMUSG00000055980.2	ENSMUST00000069799.2	protein_coding	protein_coding	1:82233101:82291416:-1	0.4815134866500648	0.75633454	0.27902378833439256	0.8340706	6	20	7	8
Faf2-KY.Chr1.5	KY2019:KY.Chr1.5	Faf2-KY.Chr1.5	KH.L28.5	FAF2	KH2013:KH.L28.5_FAF/2	13:54621824:54661586:1 ENSMUSG00000025873.16 ENSMUST00000026991.15 protein_coding protein_coding Faf2 Fas associated factor family member 2 [Source:MGI Symbol;Acc:MGI:1923827]	Faf2	ENSMUSG00000025873.16	ENSMUST00000026991.15	protein_coding	protein_coding	13:54621824:54661586:1	0.3641563104150109	0.7314511	0.2648294584928911	0.72409433	4	22	3	3
Ttc14-KY.Chr1.6	KY2019:KY.Chr1.6	Ttc14-KY.Chr1.6	KH.L60.10	FAF2	KH2013:KH.L60.10_FAF/2	3:33800191:33808044:1 ENSMUSG00000027677.17 ENSMUST00000200271.4 protein_coding protein_coding Ttc14 tetratricopeptide repeat domain 14 [Source:MGI Symbol;Acc:MGI:1914370]	Ttc14	ENSMUSG00000027677.17	ENSMUST00000200271.4	protein_coding	protein_coding	3:33800191:33808044:1	0.48266637840671794	0.7943653	0.34487148132986895	0.8340257	1	12	2	0
Fbxo21-KY.Chr1.7	KY2019:KY.Chr1.7	Fbxo21-KY.Chr1.7	KH.L60.3	FBXO21	FBXO21	5:117976784:118010200:1 ENSMUSG00000032898.9 ENSMUST00000035579.9 protein_coding protein_coding Fbxo21 F-box protein 21 [Source:MGI Symbol;Acc:MGI:1924223]	Fbxo21	ENSMUSG00000032898.9	ENSMUST00000035579.9	protein_coding	protein_coding	5:117976784:118010200:1	0.2609557584358724	0.3530684	0.20447649929671982	0.46244493	4	16	3	3
Rapgef1-KY.Chr1.8	KY2019:KY.Chr1.8	Rapgef1-KY.Chr1.8	KH.L60.9	TNRC6C	RAPGEF1	2:29702482:29740363:1 ENSMUSG00000039844.20 ENSMUST00000147488.1 protein_coding protein_coding Rapgef1 Rap guanine nucleotide exchange factor (GEF) 1 [Source:MGI Symbol;Acc:MGI:104580]	Rapgef1	ENSMUSG00000039844.20	ENSMUST00000147488.1	protein_coding	protein_coding	2:29702482:29740363:1	0.3681166819173275	0.6218298	0.2827301852473877	0.75059766	4	26	3	5
Taf9-KY.Chr1.9	KY2019:KY.Chr1.9	Taf9-KY.Chr1.9	KH.L60.14	GTF2A1	KH2013:KH.L60.14_TAF9	13:100651579:100655595:1 ENSMUSG00000052293.14 ENSMUST00000190165.6 protein_coding protein_coding Taf9 TATA-box binding protein associated factor 9 [Source:MGI Symbol;Acc:MGI:1888697]	Taf9	ENSMUSG00000052293.14	ENSMUST00000190165.6	protein_coding	protein_coding	13:100651579:100655595:1	0.6282586310954268	1.2852597	0.4609064713824004	1.2299566	3	32	2	3
Tfdp1-KY.Chr1.10	KY2019:KY.Chr1.10	Tfdp1-KY.Chr1.10	KH.L60.12	TFDP1	TFDP1/2/3	8:13339674:13377702:1 ENSMUSG00000038482.11 ENSMUST00000170909.1 protein_coding protein_coding Tfdp1 transcription factor Dp 1 [Source:MGI Symbol;Acc:MGI:101934]	Tfdp1	ENSMUSG00000038482.11	ENSMUST00000170909.1	protein_coding	protein_coding	8:13339674:13377702:1	0.7205643403214391	1.018416	0.587127238081338	1.2145361	4	28	3	3
Gcc1-KY.Chr1.11	KY2019:KY.Chr1.11	Gcc1-KY.Chr1.11	KH.L60.4	GCC1	GCC1	6:28417829:28428390:-1 ENSMUSG00000029708.9 ENSMUST00000064377.6 protein_coding protein_coding Gcc1 golgi coiled coil 1 [Source:MGI Symbol;Acc:MGI:1921625]	Gcc1	ENSMUSG00000029708.9	ENSMUST00000064377.6	protein_coding	protein_coding	6:28417829:28428390:-1	0.32226668514777235	0.5024746	0.19909591538797805	0.5659274	1	33	5	6
Tor1b-KY.Chr1.16	KY2019:KY.Chr1.16	Tor1b-KY.Chr1.16	KH.L60.16	RTF2	CG6443	2:30952959:30959015:1 ENSMUSG00000026848.14 ENSMUST00000028199.11 protein_coding protein_coding Tor1b torsin family 1, member B [Source:MGI Symbol;Acc:MGI:1353605]	Tor1b	ENSMUSG00000026848.14	ENSMUST00000028199.11	protein_coding	protein_coding	2:30952959:30959015:1	0.8919322767898926	1.6852111	0.7299279737223284	1.383693	1	46	2	0
KY2019:KY.Chr1.17	KY2019:KY.Chr1.17	KY2019:KY.Chr1.17	KH.L60.6	SEC22A	KH2013:KH.L60.6	nan	nan	nan	nan	nan	nan	nan	0.28149020380777284	0.42212963	0.21725906516379753	0.6100797	1	18	2	0
KY2019:KY.Chr1.19	KY2019:KY.Chr1.19	KY2019:KY.Chr1.19	KH.L60.2	TENM3	KH2013:KH.L60.2_HEG1	nan	nan	nan	nan	nan	nan	nan	0.30841844008027636	0.16429985	0.18857264854454114	0.23660485	0	15	0	12
Rttn-KY.Chr1.21	KY2019:KY.Chr1.21	Rttn-KY.Chr1.21	KH.C1.714	RTTN	RTTN	18:88971790:89131016:1 ENSMUSG00000023066.10 ENSMUST00000023828.8 protein_coding protein_coding Rttn rotatin [Source:MGI Symbol;Acc:MGI:2179288]	Rttn	ENSMUSG00000023066.10	ENSMUST00000023828.8	protein_coding	protein_coding	18:88971790:89131016:1	0.2841211295585311	0.36243802	0.23116228065786298	0.53508854	4	14	1	5
Tmcc1-KY.Chr1.22	KY2019:KY.Chr1.22	Tmcc1-KY.Chr1.22	KH.C1.335	TMCC1	TMCC1/2/3	6:116021996:116073156:-1 ENSMUSG00000030126.17 ENSMUST00000173548.2 protein_coding protein_coding Tmcc1 transmembrane and coiled coil domains 1 [Source:MGI Symbol;Acc:MGI:2442368]	Tmcc1	ENSMUSG00000030126.17	ENSMUST00000173548.2	protein_coding	protein_coding	6:116021996:116073156:-1	0.3763436547863273	0.5205269	0.2432137932285037	0.62431955	2	24	4	10
Hes1-KY.Chr1.28	KY2019:KY.Chr1.28	Hes1-KY.Chr1.28	KH.C1.159	HES1	HES1/2/4	16:30065340:30067796:1 ENSMUSG00000022528.8 ENSMUST00000023171.7 protein_coding protein_coding Hes1 hes family bHLH transcription factor 1 [Source:MGI Symbol;Acc:MGI:104853]	Hes1	ENSMUSG00000022528.8	ENSMUST00000023171.7	protein_coding	protein_coding	16:30065340:30067796:1	0.7018145772175617	5.580387	0.4317379089253141	4.6389914	5	13	1	9
Lpcat3-KY.Chr1.34	KY2019:KY.Chr1.34	Lpcat3-KY.Chr1.34	KH.C1.996	LPCAT3	LPCAT3	6:124663027:124704418:1 ENSMUSG00000004270.13 ENSMUST00000004381.13 protein_coding protein_coding Lpcat3 lysophosphatidylcholine acyltransferase 3 [Source:MGI Symbol;Acc:MGI:1315211]	Lpcat3	ENSMUSG00000004270.13	ENSMUST00000004381.13	protein_coding	protein_coding	6:124663027:124704418:1	0.6355112752321024	1.2766666	0.353693767321593	1.122266	2	9	5	16
Gyg-KY.Chr1.35	KY2019:KY.Chr1.35	Gyg-KY.Chr1.35	KH.C1.523	GYG1	GYG/1/2	3:20122087:20155096:-1 ENSMUSG00000019528.18 ENSMUST00000178328.7 protein_coding protein_coding Gyg glycogenin [Source:MGI Symbol;Acc:MGI:1351614]	Gyg	ENSMUSG00000019528.18	ENSMUST00000178328.7	protein_coding	protein_coding	3:20122087:20155096:-1	0.20606757898290365	0.2299149	0.17326523216618164	0.259379	1	20	5	6
Dock9-KY.Chr1.36	KY2019:KY.Chr1.36	Dock9-KY.Chr1.36	KH.C1.1202	DOCK9	DOCK10/11/9	14:121543196:121738861:-1 ENSMUSG00000025558.19 ENSMUST00000239077.1 protein_coding protein_coding Dock9 dedicator of cytokinesis 9 [Source:MGI Symbol;Acc:MGI:106321]	Dock9	ENSMUSG00000025558.19	ENSMUST00000239077.1	protein_coding	protein_coding	14:121543196:121738861:-1	0.38521897475713535	0.53241295	0.2630781556837062	0.63050306	3	25	2	13
